innings,battingTeam,bowlingTeam,striker,bowler,overs,ballNumber,runsOffBat,extras,totalRunsOffBall,isWicket,cumRuns,totalWickets,strikerFinalScore,batterOut
1,IND,PAK,Rohit,Shaheen Afridi,0.1,1,2,0,2,0,2,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.2,2,0,0,0,0,2,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.3,3,6,0,6,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.4,4,0,0,0,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.5,5,0,0,0,0,8,0,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,0.6,6,0,0,0,0,8,0,13(12),
1,IND,PAK,Kohli,Naseem Shah,1.1,7,4,0,4,0,12,0,4(3),
1,IND,PAK,Kohli,Naseem Shah,1.2,8,0,0,0,0,12,0,4(3),
1,IND,PAK,Kohli,Naseem Shah,1.3,9,0,0,0,1,12,1,4(3),Kohli
1,IND,PAK,Pant,Naseem Shah,1.4,10,0,0,0,0,12,1,42(31),
1,IND,PAK,Pant,Naseem Shah,1.5,11,0,2,2,0,14,1,42(31),
1,IND,PAK,Rohit,Naseem Shah,1.5,12,4,0,4,0,18,1,13(12),
1,IND,PAK,Rohit,Naseem Shah,1.6,13,1,0,1,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.1,14,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.2,15,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.3,16,0,0,0,0,19,1,13(12),
1,IND,PAK,Rohit,Shaheen Afridi,2.4,17,0,0,0,1,19,2,13(12),Rohit
1,IND,PAK,Axar,Shaheen Afridi,2.5,18,0,1,1,0,20,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,2.5,19,0,0,0,0,20,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,2.6,20,0,0,0,0,20,2,20(18),
1,IND,PAK,Pant,Amir,3.1,21,0,0,0,0,20,2,42(31),
1,IND,PAK,Pant,Amir,3.2,22,3,0,3,0,23,2,42(31),
1,IND,PAK,Axar,Amir,3.3,23,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.4,24,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.5,25,0,0,0,0,23,2,20(18),
1,IND,PAK,Axar,Amir,3.6,26,1,0,1,0,24,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.1,27,4,0,4,0,28,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.2,28,6,0,6,0,34,2,20(18),
1,IND,PAK,Axar,Shaheen Afridi,4.3,29,1,0,1,0,35,2,20(18),
1,IND,PAK,Pant,Shaheen Afridi,4.4,30,0,0,0,0,35,2,42(31),
1,IND,PAK,Pant,Shaheen Afridi,4.5,31,1,0,1,0,36,2,42(31),
1,IND,PAK,Axar,Shaheen Afridi,4.6,32,2,0,2,0,38,2,20(18),
1,IND,PAK,Pant,Amir,5.1,33,4,0,4,0,42,2,42(31),
1,IND,PAK,Pant,Amir,5.2,34,3,0,3,0,45,2,42(31),
1,IND,PAK,Axar,Amir,5.3,35,0,0,0,0,45,2,20(18),
1,IND,PAK,Axar,Amir,5.4,36,1,0,1,0,46,2,20(18),
1,IND,PAK,Pant,Amir,5.5,37,4,0,4,0,50,2,42(31),
1,IND,PAK,Pant,Amir,5.6,38,0,0,0,0,50,2,42(31),
1,IND,PAK,Axar,Iftikhar Ahmed,6.1,39,0,0,0,0,50,2,20(18),
1,IND,PAK,Axar,Iftikhar Ahmed,6.2,40,1,0,1,0,51,2,20(18),
1,IND,PAK,Pant,Iftikhar Ahmed,6.3,41,0,0,0,0,51,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.4,42,0,0,0,0,51,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.5,43,0,1,1,0,52,2,42(31),
1,IND,PAK,Pant,Iftikhar Ahmed,6.5,44,1,0,1,0,53,2,42(31),
1,IND,PAK,Axar,Iftikhar Ahmed,6.6,45,4,0,4,0,57,2,20(18),
1,IND,PAK,Pant,Naseem Shah,7.1,46,1,0,1,0,58,2,42(31),
1,IND,PAK,Axar,Naseem Shah,7.2,47,0,0,0,0,58,2,20(18),
1,IND,PAK,Axar,Naseem Shah,7.3,48,0,0,0,0,58,2,20(18),
1,IND,PAK,Axar,Naseem Shah,7.4,49,0,0,0,1,58,3,20(18),Axar
1,IND,PAK,Suryakumar Yadav,Naseem Shah,7.5,50,0,0,0,0,58,3,7(8),
1,IND,PAK,Suryakumar Yadav,Naseem Shah,7.6,51,4,0,4,0,62,3,7(8),
1,IND,PAK,Pant,Imad Wasim,8.1,52,0,1,1,0,63,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.1,53,1,0,1,0,64,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,8.2,54,1,0,1,0,65,3,7(8),
1,IND,PAK,Pant,Imad Wasim,8.3,55,0,0,0,0,65,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.4,56,0,0,0,0,65,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.5,57,2,0,2,0,67,3,42(31),
1,IND,PAK,Pant,Imad Wasim,8.6,58,1,0,1,0,68,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.1,59,0,0,0,0,68,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.2,60,4,0,4,0,72,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.3,61,4,0,4,0,76,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.4,62,4,0,4,0,80,3,42(31),
1,IND,PAK,Pant,Haris Rauf,9.5,63,1,0,1,0,81,3,42(31),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,9.6,64,0,0,0,0,81,3,7(8),
1,IND,PAK,Pant,Imad Wasim,10.1,65,1,0,1,0,82,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,10.2,66,1,0,1,0,83,3,7(8),
1,IND,PAK,Pant,Imad Wasim,10.3,67,0,0,0,0,83,3,42(31),
1,IND,PAK,Pant,Imad Wasim,10.4,68,4,0,4,0,87,3,42(31),
1,IND,PAK,Pant,Imad Wasim,10.5,69,1,0,1,0,88,3,42(31),
1,IND,PAK,Suryakumar Yadav,Imad Wasim,10.6,70,1,0,1,0,89,3,7(8),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,11.1,71,0,0,0,0,89,3,7(8),
1,IND,PAK,Suryakumar Yadav,Haris Rauf,11.2,72,0,0,0,1,89,4,7(8),Suryakumar Yadav
1,IND,PAK,Shivam Dube,Haris Rauf,11.3,73,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.4,74,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.5,75,0,0,0,0,89,4,3(9),
1,IND,PAK,Shivam Dube,Haris Rauf,11.6,76,1,0,1,0,90,4,3(9),
1,IND,PAK,Shivam Dube,Imad Wasim,12.1,77,1,0,1,0,91,4,3(9),
1,IND,PAK,Pant,Imad Wasim,12.2,78,1,0,1,0,92,4,42(31),
1,IND,PAK,Shivam Dube,Imad Wasim,12.3,79,0,0,0,0,92,4,3(9),
1,IND,PAK,Shivam Dube,Imad Wasim,12.4,80,1,0,1,0,93,4,3(9),
1,IND,PAK,Pant,Imad Wasim,12.5,81,0,1,1,0,94,4,42(31),
1,IND,PAK,Shivam Dube,Imad Wasim,12.6,82,0,0,0,0,94,4,3(9),
1,IND,PAK,Pant,Naseem Shah,13.1,83,1,0,1,0,95,4,42(31),
1,IND,PAK,Shivam Dube,Naseem Shah,13.2,84,0,0,0,1,95,5,3(9),Shivam Dube
1,IND,PAK,Hardik Pandya,Naseem Shah,13.3,85,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.4,86,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.5,87,0,0,0,0,95,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.6,88,0,1,1,0,96,5,7(12),
1,IND,PAK,Hardik Pandya,Naseem Shah,13.6,89,0,0,0,0,96,5,7(12),
1,IND,PAK,Pant,Amir,14.1,90,0,0,0,1,96,6,42(31),Pant
1,IND,PAK,Jadeja,Amir,14.2,91,0,0,0,1,96,7,0(1),Jadeja
1,IND,PAK,Arshdeep Singh,Amir,14.3,92,0,0,0,0,96,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,14.4,93,1,0,1,0,97,7,9(13),
1,IND,PAK,Hardik Pandya,Amir,14.5,94,0,0,0,0,97,7,7(12),
1,IND,PAK,Hardik Pandya,Amir,14.6,95,0,0,0,0,97,7,7(12),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.1,96,0,0,0,0,97,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.2,97,1,0,1,0,98,7,9(13),
1,IND,PAK,Hardik Pandya,Naseem Shah,15.3,98,1,0,1,0,99,7,7(12),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.4,99,0,0,0,0,99,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.5,100,0,0,0,0,99,7,9(13),
1,IND,PAK,Arshdeep Singh,Naseem Shah,15.6,101,1,0,1,0,100,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.1,102,4,0,4,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.2,103,0,0,0,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.3,104,0,0,0,0,104,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.4,105,2,0,2,0,106,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.5,106,0,0,0,0,106,7,9(13),
1,IND,PAK,Arshdeep Singh,Amir,16.6,107,0,0,0,0,106,7,9(13),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.1,108,4,0,4,0,110,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.2,109,0,0,0,0,110,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.3,110,2,0,2,0,112,7,7(12),
1,IND,PAK,Hardik Pandya,Haris Rauf,17.4,111,0,0,0,1,112,8,7(12),Hardik Pandya
1,IND,PAK,Bumrah,Haris Rauf,17.5,112,0,0,0,1,112,9,0(1),Bumrah
1,IND,PAK,Siraj,Haris Rauf,17.6,113,1,0,1,0,113,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.1,114,2,0,2,0,115,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.2,115,2,0,2,0,117,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.3,116,2,0,2,0,119,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.4,117,0,0,0,0,119,9,7(7),
1,IND,PAK,Siraj,Shaheen Afridi,18.5,118,0,0,0,0,119,9,7(7),
1,IND,PAK,arshdeep singh,Shaheen Afridi,18.6,119,0,0,0,1,119,10,9(13),arshdeep singh
2,PAK,IND,Rizwan,Arshdeep Singh,0.1,1,3,0,3,0,3,0,31(44),
2,PAK,IND,Babar Azam,Arshdeep Singh,0.2,2,3,0,3,0,6,0,13(10),
2,PAK,IND,Rizwan,Arshdeep Singh,0.3,3,1,0,1,0,7,0,31(44),
2,PAK,IND,Babar Azam,Arshdeep Singh,0.4,4,0,2,2,0,9,0,13(10),
2,PAK,IND,Rizwan,Arshdeep Singh,0.4,5,0,0,0,0,9,0,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,0.5,6,0,0,0,0,9,0,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,0.6,7,0,0,0,0,9,0,31(44),
2,PAK,IND,Babar Azam,Siraj,1.1,8,4,0,4,0,13,0,13(10),
2,PAK,IND,Babar Azam,Siraj,1.2,9,1,0,1,0,14,0,13(10),
2,PAK,IND,Rizwan,Siraj,1.3,10,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.4,11,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.5,12,0,0,0,0,14,0,31(44),
2,PAK,IND,Rizwan,Siraj,1.6,13,1,0,1,0,15,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.1,14,2,0,2,0,17,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.2,15,0,0,0,0,17,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.3,16,0,0,0,0,17,0,31(44),
2,PAK,IND,Rizwan,Bumrah,2.4,17,1,0,1,0,18,0,31(44),
2,PAK,IND,Babar Azam,Bumrah,2.5,18,1,0,1,0,19,0,13(10),
2,PAK,IND,Rizwan,Bumrah,2.6,19,0,0,0,0,19,0,31(44),
2,PAK,IND,Babar Azam,Siraj,3.1,20,0,0,0,0,19,0,13(10),
2,PAK,IND,Babar Azam,Siraj,3.2,21,0,0,0,0,19,0,13(10),
2,PAK,IND,Babar Azam,Siraj,3.3,22,0,1,1,0,20,0,13(10),
2,PAK,IND,Rizwan,Siraj,3.4,23,0,0,0,0,20,0,31(44),
2,PAK,IND,Rizwan,Siraj,3.5,24,0,0,0,0,20,0,31(44),
2,PAK,IND,Rizwan,Siraj,3.6,25,1,0,1,0,21,0,31(44),
2,PAK,IND,Rizwan,Bumrah,4.1,26,1,0,1,0,22,0,31(44),
2,PAK,IND,Babar Azam,Bumrah,4.2,27,0,0,0,0,22,0,13(10),
2,PAK,IND,Babar Azam,Bumrah,4.3,28,4,0,4,0,26,0,13(10),
2,PAK,IND,Babar Azam,Bumrah,4.4,29,0,0,0,1,26,1,13(10),Babar Azam
2,PAK,IND,Usman Khan,Bumrah,4.5,30,0,0,0,0,26,1,13(15),
2,PAK,IND,Usman Khan,Bumrah,4.6,31,0,0,0,0,26,1,13(15),
2,PAK,IND,Rizwan,Hardik Pandya,5.1,32,0,0,0,0,26,1,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,5.2,33,0,0,0,0,26,1,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,5.3,34,6,0,6,0,32,1,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,5.4,35,1,0,1,0,33,1,31(44),
2,PAK,IND,Usman Khan,Hardik Pandya,5.5,36,0,1,1,0,34,1,13(15),
2,PAK,IND,Usman Khan,Hardik Pandya,5.5,37,1,0,1,0,35,1,13(15),
2,PAK,IND,Rizwan,Hardik Pandya,5.6,38,0,0,0,0,35,1,31(44),
2,PAK,IND,Usman Khan,Siraj,6.1,39,0,0,0,0,35,1,13(15),
2,PAK,IND,Usman Khan,Siraj,6.2,40,0,0,0,0,35,1,13(15),
2,PAK,IND,Usman Khan,Siraj,6.3,41,1,0,1,0,36,1,13(15),
2,PAK,IND,Rizwan,Siraj,6.4,42,1,0,1,0,37,1,31(44),
2,PAK,IND,Usman Khan,Siraj,6.5,43,0,0,0,0,37,1,13(15),
2,PAK,IND,Usman Khan,Siraj,6.6,44,1,0,1,0,38,1,13(15),
2,PAK,IND,Usman Khan,Jadeja,7.1,45,1,0,1,0,39,1,13(15),
2,PAK,IND,Rizwan,Jadeja,7.2,46,0,0,0,0,39,1,31(44),
2,PAK,IND,Rizwan,Jadeja,7.3,47,1,0,1,0,40,1,31(44),
2,PAK,IND,Usman Khan,Jadeja,7.4,48,1,0,1,0,41,1,13(15),
2,PAK,IND,Rizwan,Jadeja,7.5,49,0,0,0,0,41,1,31(44),
2,PAK,IND,Rizwan,Jadeja,7.6,50,1,0,1,0,42,1,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,8.1,51,0,0,0,0,42,1,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,8.2,52,1,0,1,0,43,1,31(44),
2,PAK,IND,Usman Khan,Hardik Pandya,8.3,53,4,0,4,0,47,1,13(15),
2,PAK,IND,Usman Khan,Hardik Pandya,8.4,54,2,0,2,0,49,1,13(15),
2,PAK,IND,Usman Khan,Hardik Pandya,8.5,55,1,0,1,0,50,1,13(15),
2,PAK,IND,Rizwan,Hardik Pandya,8.6,56,1,0,1,0,51,1,31(44),
2,PAK,IND,Rizwan,Jadeja,9.1,57,1,0,1,0,52,1,31(44),
2,PAK,IND,Usman Khan,Jadeja,9.2,58,1,0,1,0,53,1,13(15),
2,PAK,IND,Rizwan,Jadeja,9.3,59,0,0,0,0,53,1,31(44),
2,PAK,IND,Rizwan,Jadeja,9.4,60,0,0,0,0,53,1,31(44),
2,PAK,IND,Rizwan,Jadeja,9.5,61,0,0,0,0,53,1,31(44),
2,PAK,IND,Rizwan,Jadeja,9.6,62,4,0,4,0,57,1,31(44),
2,PAK,IND,Usman Khan,Axar,10.1,63,0,0,0,1,57,2,13(15),Usman Khan
2,PAK,IND,Fakhar Zaman,Axar,10.2,64,1,0,1,0,58,2,13(8),
2,PAK,IND,Rizwan,Axar,10.3,65,1,0,1,0,59,2,31(44),
2,PAK,IND,Fakhar Zaman,Axar,10.4,66,6,0,6,0,65,2,13(8),
2,PAK,IND,Fakhar Zaman,Axar,10.5,67,0,0,0,0,65,2,13(8),
2,PAK,IND,Fakhar Zaman,Axar,10.6,68,1,0,1,0,66,2,13(8),
2,PAK,IND,Fakhar Zaman,Arshdeep Singh,11.1,69,4,0,4,0,70,2,13(8),
2,PAK,IND,Fakhar Zaman,Arshdeep Singh,11.2,70,0,0,0,0,70,2,13(8),
2,PAK,IND,Fakhar Zaman,Arshdeep Singh,11.3,71,1,0,1,0,71,2,13(8),
2,PAK,IND,Rizwan,Arshdeep Singh,11.4,72,0,0,0,0,71,2,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,11.5,73,0,0,0,0,71,2,31(44),
2,PAK,IND,Rizwan,Arshdeep Singh,11.6,74,1,0,1,0,72,2,31(44),
2,PAK,IND,Rizwan,Hardik Pandya,12.1,75,1,0,1,0,73,2,31(44),
2,PAK,IND,Fakhar Zaman,Hardik Pandya,12.2,76,0,0,0,1,73,3,13(8),Fakhar Zaman
2,PAK,IND,Imad Wasim,Hardik Pandya,12.3,77,0,0,0,0,73,3,15(23),
2,PAK,IND,Imad Wasim,Hardik Pandya,12.4,78,0,0,0,0,73,3,15(23),
2,PAK,IND,Imad Wasim,Hardik Pandya,12.5,79,0,0,0,0,73,3,15(23),
2,PAK,IND,Imad Wasim,Hardik Pandya,12.6,80,0,0,0,0,73,3,15(23),
2,PAK,IND,Rizwan,Arshdeep Singh,13.1,81,0,1,1,0,74,3,31(44),
2,PAK,IND,Imad Wasim,Arshdeep Singh,13.2,82,4,0,4,0,78,3,15(23),
2,PAK,IND,Imad Wasim,Arshdeep Singh,13.3,83,0,0,0,0,78,3,15(23),
2,PAK,IND,Imad Wasim,Arshdeep Singh,13.4,84,1,0,1,0,79,3,15(23),
2,PAK,IND,Rizwan,Arshdeep Singh,13.5,85,1,0,1,0,80,3,31(44),
2,PAK,IND,Imad Wasim,Arshdeep Singh,13.6,86,0,0,0,0,80,3,15(23),
2,PAK,IND,Rizwan,Bumrah,14.1,87,0,0,0,1,80,4,31(44),Rizwan
2,PAK,IND,Shadab Khan,Bumrah,14.2,88,0,0,0,0,80,4,4(7),
2,PAK,IND,Shadab Khan,Bumrah,14.3,89,0,0,0,0,80,4,4(7),
2,PAK,IND,Shadab Khan,Bumrah,14.4,90,1,0,1,0,81,4,4(7),
2,PAK,IND,Imad Wasim,Bumrah,14.5,91,2,0,2,0,83,4,15(23),
2,PAK,IND,Imad Wasim,Bumrah,14.6,92,0,0,0,0,83,4,15(23),
2,PAK,IND,Shadab Khan,Axar,15.1,93,0,0,0,0,83,4,4(7),
2,PAK,IND,Shadab Khan,Axar,15.2,94,1,0,1,0,84,4,4(7),
2,PAK,IND,Imad Wasim,Axar,15.3,95,0,0,0,0,84,4,15(23),
2,PAK,IND,Imad Wasim,Axar,15.4,96,0,0,0,0,84,4,15(23),
2,PAK,IND,Imad Wasim,Axar,15.5,97,0,0,0,0,84,4,15(23),
2,PAK,IND,Imad Wasim,Axar,15.6,98,1,0,1,0,85,4,15(23),
2,PAK,IND,Imad Wasim,Hardik Pandya,16.1,99,1,0,1,0,86,4,15(23),
2,PAK,IND,Shadab Khan,Hardik Pandya,16.2,100,2,0,2,0,88,4,4(7),
2,PAK,IND,Shadab Khan,Hardik Pandya,16.3,101,0,0,0,1,88,5,4(7),Shadab Khan
2,PAK,IND,Iftikhar Ahmed,Hardik Pandya,16.4,102,1,0,1,0,89,5,5(9),
2,PAK,IND,Imad Wasim,Hardik Pandya,16.5,103,0,0,0,0,89,5,15(23),
2,PAK,IND,Imad Wasim,Hardik Pandya,16.6,104,1,0,1,0,90,5,15(23),
2,PAK,IND,Imad Wasim,Siraj,17.1,105,1,0,1,0,91,5,15(23),
2,PAK,IND,Iftikhar Ahmed,Siraj,17.2,106,0,1,1,0,92,5,5(9),
2,PAK,IND,Iftikhar Ahmed,Siraj,17.2,107,2,0,2,0,94,5,5(9),
2,PAK,IND,Iftikhar Ahmed,Siraj,17.3,108,1,0,1,0,95,5,5(9),
2,PAK,IND,Imad Wasim,Siraj,17.4,109,1,0,1,0,96,5,15(23),
2,PAK,IND,Iftikhar Ahmed,Siraj,17.5,110,0,1,1,0,97,5,5(9),
2,PAK,IND,Iftikhar Ahmed,Siraj,17.5,111,1,0,1,0,98,5,5(9),
2,PAK,IND,Imad Wasim,Siraj,17.6,112,1,0,1,0,99,5,15(23),
2,PAK,IND,Imad Wasim,Bumrah,18.1,113,1,0,1,0,100,5,15(23),
2,PAK,IND,Iftikhar Ahmed,Bumrah,18.2,114,0,0,0,0,100,5,5(9),
2,PAK,IND,Iftikhar Ahmed,Bumrah,18.3,115,0,0,0,0,100,5,5(9),
2,PAK,IND,Iftikhar Ahmed,Bumrah,18.4,116,0,1,1,0,101,5,5(9),
2,PAK,IND,Imad Wasim,Bumrah,18.5,117,1,0,1,0,102,5,15(23),
2,PAK,IND,Iftikhar Ahmed,Bumrah,18.6,118,0,0,0,1,102,6,5(9),Iftikhar Ahmed
2,PAK,IND,Imad Wasim,Arshdeep Singh,19.1,119,0,0,0,1,102,7,15(23),Imad Wasim
2,PAK,IND,Naseem Shah,Arshdeep Singh,19.2,120,1,0,1,0,103,7,10(4),
2,PAK,IND,Shaheen Afridi,Arshdeep Singh,19.3,121,0,1,1,0,104,7,0(1),
2,PAK,IND,Naseem Shah,Arshdeep Singh,19.4,122,4,0,4,0,108,7,10(4),
2,PAK,IND,Naseem Shah,Arshdeep Singh,19.5,123,4,0,4,0,112,7,10(4),
2,PAK,IND,Naseem Shah,Arshdeep Singh,19.6,124,1,0,1,0,113,7,10(4),
